"ID" "item" "session" "res" "correct" "type" "trial" "RT" "score" "origin" "quality" "group" "twice"
"5a912643" "guta1guta8" 1 1 1 "guta" "diff" 4013 1 "native" "good" 5 FALSE
"5a912643" "guta8guta1" 1 1 1 "guta" "diff" 3450 1 "native" "good" 5 FALSE
"5a912643" "guta8guta8" 1 0 1 "guta" "same" 3497 1 "native" "good" 5 FALSE
"5a912643" "guta1guta1" 1 0 1 "guta" "same" 3234 1 "native" "good" 5 FALSE
"5a912643" "lita1lita1" 1 0 1 "lita" "same" 3217 1 "native" "good" 5 FALSE
"5a912643" "lita1lita8" 1 1 1 "lita" "diff" 3297 1 "native" "good" 5 FALSE
"5a912643" "lita8lita8" 1 0 1 "lita" "same" 3218 1 "native" "good" 5 FALSE
"5a912643" "lita8lita1" 1 1 1 "lita" "diff" 3178 1 "native" "good" 5 FALSE
"d6dfa210" "guta1guta8" 0 0 0 "guta" "diff" 2858 1 "native" "good" 3 FALSE
"d6dfa210" "guta1guta1" 0 0 1 "guta" "same" 2933 1 "native" "good" 3 FALSE
"d6dfa210" "guta8guta8" 0 0 1 "guta" "same" 3047 1 "native" "good" 3 FALSE
